Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,36.259998,36.299999,35.540001,36.160000,35.603077,21758100
2020-05-12,36.070000,36.230000,35.340000,35.349998,34.805550,17133000
2020-05-13,35.169998,35.299999,34.419998,34.970001,34.431408,30898300
2020-05-14,34.779999,35.840000,34.169998,35.759998,35.209240,24334900
2020-05-15,35.310001,35.980000,34.849998,35.919998,35.366776,31571600
2020-05-18,36.939999,38.349998,36.830002,38.090000,37.503357,24829600
2020-05-19,37.830002,38.660000,37.330002,38.209999,37.621506,27763200
2020-05-20,38.610001,39.240002,38.500000,39.169998,38.566719,23123500
2020-05-21,38.840000,39.189999,38.560001,38.950001,38.350109,20744200
2020-05-22,38.669998,39.000000,38.470001,38.740002,38.143349,12383000
2020-05-26,39.450001,40.130001,39.400002,39.520000,38.911331,21584900
2020-05-27,39.630001,40.470001,39.619999,39.930000,39.315018,20654900
2020-05-28,39.970001,40.130001,39.439999,39.549999,38.940868,18254000
2020-05-29,39.560001,39.820000,38.799999,39.599998,38.990097,20301600
2020-06-01,39.540001,40.270000,39.400002,40.180000,39.561169,13350600
2020-06-02,40.130001,40.830002,40.119999,40.779999,40.151924,19060100
2020-06-03,41.150002,41.580002,40.990002,41.299999,40.663918,17141900
2020-06-04,40.970001,41.380001,40.840000,41.290001,40.654072,12756500
2020-06-05,42.130001,43.099998,41.990002,42.090000,41.441750,20271600
2020-06-08,41.930000,43.180000,41.900002,43.119999,42.455883,17212000
2020-06-09,42.669998,42.889999,41.880001,42.150002,41.500828,14413900
2020-06-10,42.099998,42.119999,41.130001,41.360001,40.722996,15634600
2020-06-11,40.910000,41.270000,39.189999,39.250000,38.645489,22805900
2020-06-12,39.590000,39.970001,38.520000,39.459999,38.852253,18507300
2020-06-15,39.290001,40.090000,38.540001,39.830002,39.216557,16585500
2020-06-16,40.540001,41.049999,39.139999,39.750000,39.137791,21212400
2020-06-17,39.779999,39.889999,39.119999,39.220001,38.615952,18935700
2020-06-18,39.189999,39.599998,38.950001,39.439999,38.832561,17008200
2020-06-19,39.849998,40.459999,38.869999,39.099998,38.497795,35341300
2020-06-22,38.799999,39.049999,38.320000,38.439999,37.847965,20800700
2020-06-23,38.930000,39.650002,38.689999,39.200001,38.596260,24917900
2020-06-24,39.480000,39.480000,38.130001,38.560001,37.966118,20958900
2020-06-25,38.360001,38.740002,37.770000,38.570000,37.975960,18159200
2020-06-26,38.299999,38.740002,38.029999,38.650002,38.054729,50945600
2020-06-29,38.869999,39.029999,38.389999,38.939999,38.340263,20573800
2020-06-30,38.500000,39.130001,38.119999,38.980000,38.607685,22169400
2020-07-01,39.610001,40.209999,39.400002,39.700001,39.320812,18269800
2020-07-02,40.040001,40.279999,39.169998,39.250000,38.875107,23372800
2020-07-06,39.799999,40.369999,39.650002,40.330002,39.944794,17551400
2020-07-07,40.040001,40.349998,40.000000,40.070000,39.687275,19404700
2020-07-08,40.130001,40.240002,39.520000,39.740002,39.360428,12536000
2020-07-09,39.700001,39.720001,39.029999,39.290001,38.914726,15335200
2020-07-10,39.230000,40.540001,39.139999,40.509998,40.123070,19032700
2020-07-13,40.470001,41.099998,40.180000,40.540001,40.152786,17464700
2020-07-14,39.950001,41.290001,39.830002,41.180000,40.786671,21030600
2020-07-15,41.110001,42.080002,41.049999,41.959999,41.559223,21068800
2020-07-16,41.709999,42.180000,41.660000,42.139999,41.737503,14817900
2020-07-17,42.480000,42.480000,41.900002,42.180000,41.777119,15912900
2020-07-20,41.990002,42.110001,41.759998,41.950001,41.549320,12964100
2020-07-21,42.139999,42.770000,42.060001,42.570000,42.163395,23364300
2020-07-22,42.520000,42.759998,42.410000,42.570000,42.163395,16360500
2020-07-23,42.759998,42.959999,42.340000,42.490002,42.084160,22357200
2020-07-24,43.430000,43.900002,42.709999,43.349998,42.935944,21926100
2020-07-27,43.200001,43.639999,43.150002,43.560001,43.143940,18268600
2020-07-28,42.860001,43.570000,42.799999,43.209999,42.797283,17574600
2020-07-29,43.330002,44.110001,43.259998,43.900002,43.480694,25499900
2020-07-30,44.480000,45.200001,43.119999,43.669998,43.252888,17658600
2020-07-31,43.540001,43.639999,41.959999,42.799999,42.391197,23913500
2020-08-03,42.689999,43.139999,42.410000,42.880001,42.470436,13733000
2020-08-04,42.619999,43.240002,42.540001,43.209999,42.797283,12102500
2020-08-05,43.290001,43.470001,42.250000,42.290001,41.886070,16212500
2020-08-06,42.040001,42.889999,42.020000,42.869999,42.460529,13772200
2020-08-07,42.590000,42.919998,42.470001,42.810001,42.401104,10353000
